step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
240,14,22,0.0,-6.0,18.0,,,24.5,25,0.5
241,42,108,10.333333333333334,-18.0,212.29999999999998,0.549215550165897,-1.0648086620107842,23.0,23,0.0
242,268,838,62.25,-52.4,13089.111111111111,0.9210464666439182,-1.2812264578687227,25.77777777777778,27,2.9444444444444446
243,11,11,0.0,0.0,,,,24.0,24,
244,24,34,0.0,-14.0,98.0,,,24.0,24,0.0
245,10,10,0.0,0.0,,,,25.0,25,
246,30,30,0.0,0.0,,,,25.0,25,
247,10,10,0.0,0.0,,,,23.0,23,
248,30,46,0.0,-14.0,98.0,,,23.0,23,0.0
249,9,9,0.0,0.0,,,,22.0,22,
250,9,9,0.0,0.0,,,,21.0,21,
251,36,36,0.0,0.0,,,,22.0,22,
252,9,9,0.0,0.0,,,,22.0,22,
253,9,9,0.0,0.0,,,,22.0,22,
254,8,8,0.0,0.0,,,,22.0,22,
255,6,6,0.0,0.0,,,,23.0,23,
256,19,19,0.0,0.0,,,,24.0,24,
257,9,9,0.0,0.0,,,,24.0,24,
258,16,16,0.0,0.0,,,,24.0,24,
259,16,16,0.0,0.0,,,,24.0,24,
260,9,9,0.0,0.0,,,,23.0,23,
261,9,9,0.0,0.0,,,,23.0,23,
262,23,23,0.0,0.0,,,,23.0,23,
263,23,23,0.0,0.0,,,,23.0,23,
264,9,9,0.0,0.0,,,,24.0,24,
265,8,8,0.0,0.0,,,,24.0,24,
266,9,9,0.0,0.0,,,,24.0,24,
267,9,9,0.0,0.0,,,,24.0,24,
268,25,25,0.0,0.0,,,,24.0,24,
269,9893,392478,1.0874587458745875,-14.32510885341074,170594.51343442383,23.678242031020545,560.9918350725383,-2023.1283362306983,32,285872347.6625013
270,43,3460,0.23863636363636365,-0.9310344827586207,58.95372826407309,0.820699752942834,-1.0030959939811854,24.0,24,0.0
271,30,551,2.2857142857142856,-0.4117647058823529,7.519927536231885,-1.0428002726952623,5.802821677207083,24.0,24,0.0
272,155,18615,1.2568807339449541,-0.19145802650957292,42.738322293100445,12.137516298230137,216.59791743448682,28.258883248730964,40,42.408116667419165
273,54,54,0.0,0.0,,,,25.0,25,
274,54,54,0.0,0.0,,,,25.0,25,
275,103,168,0.0,-38.0,722.0,,,6.0,6,0.0
276,58,58,0.0,0.0,,,,6.0,6,
277,59,59,0.0,0.0,,,,6.0,6,
278,243,5185,15.272727272727273,-5.055555555555555,1460.8842364532022,-0.9848327676265816,1.2472053884967775,6.0,6,0.0
279,130,3648,10.833333333333334,-1.8857142857142857,315.87439024390244,0.882812188651495,-0.19371300466965424,6.0,6,0.0
280,113,2707,10.0,-1.2307692307692308,78.01970443349754,1.0232564270786042,0.1918675182179994,6.0,6,0.0
281,83,984,0.6153846153846154,-22.0,42.52747252747253,0.22839059754621488,-0.794064495686996,6.0,6,0.0
282,57,113,0.5,0.0,0.5,,,6.0,6,0.0
283,58,58,0.0,0.0,,,,6.0,6,
284,212,2815,9.266666666666667,-31.25,1837.140350877193,-0.3049304758025776,-1.0039920536292883,6.0,6,0.0
285,56,56,0.0,0.0,,,,6.0,6,
286,63,119,0.0,-7.0,24.5,,,6.0,6,0.0
287,57,57,0.0,0.0,,,,6.0,6,
288,87,357,6.75,-20.0,113.3,0.7766212840887486,-0.3733225103588227,6.0,6,0.0
289,82,222,9.0,-6.0,84.0,-0.9352195295828245,,6.0,6,0.0
290,210,447,19.0,-145.0,5653.0,-1.2477598090274513,,6.0,6,0.0
291,168,437,32.5,-2.0,1366.3333333333333,-1.7263480620023455,,6.0,6,0.0
292,261,506,99.5,-78.0,10054.333333333334,-0.6301109597246553,,6.0,6,0.0
293,68,132,2.0,0.0,8.0,,,6.0,6,0.0
294,157,257,28.5,0.0,1624.5,,,6.0,6,0.0
295,158,216,0.0,-100.0,5000.0,,,6.0,6,0.0
296,88,163,6.5,0.0,84.5,,,6.0,6,0.0
297,117,191,21.5,0.0,924.5,,,6.0,6,0.0
298,175,435,37.0,-16.0,1516.0,-1.408852992260016,,6.0,6,0.0
299,88,206,13.5,-31.0,284.3333333333333,1.6230464865816092,,6.0,6,0.0
300,78,136,10.0,0.0,200.0,,,6.0,6,0.0
301,201,303,49.5,0.0,4900.5,,,6.0,6,0.0
302,102,158,23.0,0.0,1058.0,,,6.0,6,0.0
303,150,215,0.0,-85.0,3612.5,,,6.0,6,0.0
304,97,97,0.0,0.0,,,,6.0,6,
305,181,409,24.0,-86.0,1857.3333333333333,0.34597160283442263,,6.0,6,0.0
306,177,1136,11.6,-32.333333333333336,1090.0,-0.8625454045224531,0.2830021041999826,6.0,6,0.0
307,237,432,60.5,-158.0,6829.0,1.3496811462069882,,6.0,6,0.0
308,58,58,0.0,0.0,,,,6.0,6,
309,158,493,45.5,-23.5,1886.9166666666667,-0.8085603941820425,-1.5263593658432129,6.0,6,0.0
310,195,336,27.0,0.0,1458.0,,,6.0,6,0.0
311,123,223,11.5,0.0,264.5,,,6.0,6,0.0
312,166,259,0.0,-73.0,2664.5,,,6.0,6,0.0
313,205,491,15.0,-94.0,2305.3333333333335,-1.0030113418253415,,6.0,6,0.0
314,111,747,7.5,-7.285714285714286,281.0,0.20368982436698554,-0.6750791982298674,6.0,6,0.0
315,83,1046,5.25,-2.272727272727273,56.06666666666668,0.49476974451948585,-0.415086510450307,6.0,6,0.0
316,74,1278,2.75,-0.9333333333333333,12.760233918128657,-0.15893713541262447,-0.29289512926186667,6.0,6,0.0
317,101,247,19.0,-18.0,361.3333333333333,-0.1576277674957999,,6.0,6,0.0
318,153,618,28.0,-31.333333333333332,1423.6,0.13334123562313144,-2.0095232053796153,6.0,6,0.0
319,84,5157,6.0,-0.34285714285714286,27.36782673084043,0.523356426315999,0.06409770614096022,6.0,6,0.0
320,62,62,0.0,0.0,,,,6.0,6,
321,97,3815,4.714285714285714,-0.9,84.10083256244218,-0.05121569782569319,-0.4541163473949297,6.0,6,0.0
