id,cid,counter,tData,tData_2,tData_3,tData_4,pData,pData_2,pData_3,pData_4,created_at,updated_at
863,25,1693940510089,29,30,31,28,30,16,0,186,2023-09-05 21:01:51,2023-09-05 21:01:51
864,25,1693940510437,29,30,31,28,30,16,0,332,2023-09-05 21:01:51,2023-09-05 21:01:51
865,25,1693940510818,29,30,31,28,30,16,0,130,2023-09-05 21:01:51,2023-09-05 21:01:51
866,25,1693940511140,29,30,31,28,30,16,0,0,2023-09-05 21:01:52,2023-09-05 21:01:52
867,25,1693940511474,29,30,31,28,34,16,0,0,2023-09-05 21:01:52,2023-09-05 21:01:52
868,25,1693940511842,29,30,31,28,277,16,0,0,2023-09-05 21:01:52,2023-09-05 21:01:52
869,25,1693940512190,29,30,31,28,160,16,0,0,2023-09-05 21:01:53,2023-09-05 21:01:53
870,25,1693940512527,29,30,31,28,31,16,0,0,2023-09-05 21:01:53,2023-09-05 21:01:53
871,25,1693940512929,29,30,31,28,30,16,0,0,2023-09-05 21:01:53,2023-09-05 21:01:53
872,26,1693940514305,30,30,31,28,30,16,0,0,2023-09-05 21:01:55,2023-09-05 21:01:55
873,26,1693940514657,30,30,31,28,30,16,0,0,2023-09-05 21:01:55,2023-09-05 21:01:55
874,26,1693940515038,30,30,31,28,30,16,0,0,2023-09-05 21:01:56,2023-09-05 21:01:56
875,26,1693940515433,30,30,31,28,30,16,0,0,2023-09-05 21:01:56,2023-09-05 21:01:56
876,26,1693940515803,30,30,31,28,30,16,0,0,2023-09-05 21:01:56,2023-09-05 21:01:56
877,26,1693940516092,30,30,31,28,90,16,0,0,2023-09-05 21:01:57,2023-09-05 21:01:57
878,26,1693940516416,30,30,31,28,84,16,0,0,2023-09-05 21:01:57,2023-09-05 21:01:57
